,Person,1,2,3,4,5,6
4748,4749,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
4749,4750,brown-bread,soda,shopping-bags,frankfurter,sliced-cheese,spread-cheese
4750,4751,baby-food,organic-sausage,chocolate-marshmallow,potato-products,sound-storage-medium,hair-spray
4751,4752,liquor,waffles,specialty-bar,finished-products,red/blush-wine,prosecco
4752,4753,sparkling-wine,brown-bread,berries,pork,napkins,hygiene-articles
4753,4754,citrus-fruit,other-vegetables,grapes,nuts/prunes,honey,softener
4754,4755,prosecco,liquor,red/blush-wine,liquor-(appetizer),tea,bottled-water
4755,4756,hygiene-articles,dishes,light-bulbs,photo/film,decalcifier,artif.-sweetener
4756,4757,coffee,brandy,frankfurter,sausage,spread-cheese,newspapers
4757,4758,herbs,beef,packaged-fruit/vegetables,onions,other-vegetables,rice
4758,4759,pastry,chewing-gum,coffee,frozen-meals,semi-finished-bread,beverages
4759,4760,beef,herbs,bottled-water,pork,onions,oil
4760,4761,frozen-dessert,soda,meat,soft-cheese,frankfurter,processed-cheese
4761,4762,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
4762,4763,flower-soil/fertilizer,honey,decalcifier,male-cosmetics,liquor-(appetizer),house-keeping-products
4763,4764,hamburger-meat,kitchen-utensil,canned-fish,nut-snack,organic-products,canned-vegetables
4764,4765,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
4765,4766,pet-care,chewing-gum,liquor-(appetizer),prosecco,bottled-water,canned-beer
4766,4767,pet-care,domestic-eggs,flower-(seeds),jam,curd,rice
4767,4768,mustard,meat,sausage,spread-cheese,potato-products,newspapers
4768,4769,hygiene-articles,semi-finished-bread,tea,frozen-meals,cat-food,coffee
4769,4770,bathroom-cleaner,vinegar,popcorn,meat-spreads,jam,instant-coffee
4770,4771,dessert,butter-milk,beverages,pot-plants,long-life-bakery-product,bottled-water
4771,4772,chocolate,specialty-chocolate,waffles,canned-beer,chewing-gum,ice-cream
4772,4773,cat-food,sausage,beef,onions,whisky,whole-milk
4773,4774,curd,fruit/vegetable-juice,bottled-water,domestic-eggs,dessert,ham
4774,4775,chewing-gum,frozen-meals,tidbits,pastry,beverages,coffee
4775,4776,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
4776,4777,frozen-meals,pastry,beverages,coffee,semi-finished-bread,white-bread
4777,4778,sausage,whole-milk,domestic-eggs,sliced-cheese,mustard,canned-beer
4778,4779,baby-food,chocolate-marshmallow,cake-bar,specialty-bar,flower-soil/fertilizer,seasonal-products
4779,4780,frankfurter,waffles,soda,nuts/prunes,beverages,chocolate
4780,4781,pork,flower-(seeds),frozen-fish,frozen-dessert,herbs,chicken
4781,4782,mustard,meat,newspapers,pastry,sausage,margarine
4782,4783,cake-bar,flower-soil/fertilizer,seasonal-products,canned-fruit,popcorn,curd
4783,4784,hamburger-meat,beef,herbs,pork,onions,salt
4784,4785,popcorn,chewing-gum,canned-fish,specialty-bar,ice-cream,condensed-milk
4785,4786,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4786,4787,brown-bread,semi-finished-bread,waffles,candles,chocolate,frankfurter
4787,4788,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
4788,4789,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4789,4790,spread-cheese,sliced-cheese,frankfurter,soda,soft-cheese,shopping-bags
4790,4791,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4791,4792,red/blush-wine,bottled-beer,citrus-fruit,beverages,whipped/sour-cream,berries
4792,4793,curd,cream-cheese-,spread-cheese,berries,soft-cheese,beverages
4793,4794,female-sanitary-products,baby-food,candy,waffles,specialty-cheese,chocolate-marshmallow
4794,4795,butter-milk,waffles,liver-loaf,specialty-chocolate,vinegar,dishes
4795,4796,canned-beer,white-wine,spread-cheese,liquor,chewing-gum,misc.-beverages
4796,4797,frankfurter,soda,specialty-bar,waffles,beverages,chocolate
4797,4798,specialty-fat,honey,flower-soil/fertilizer,frozen-meals,frozen-fish,flower-(seeds)
4798,4799,snack-products,dessert,tidbits,canned-beer,chewing-gum,ice-cream
4799,4800,condensed-milk,red/blush-wine,frankfurter,sausage,spread-cheese,cling-film/bags
4800,4801,curd,domestic-eggs,flower-(seeds),cake-bar,jam,rice
4801,4802,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
4802,4803,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
4803,4804,whisky,frozen-dessert,make-up-remover,ready-soups,misc.-beverages,salty-snack
4804,4805,beverages,newspapers,frankfurter,sausage,whole-milk,cream-cheese-
4805,4806,condensed-milk,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
4806,4807,liquor,canned-beer,bottled-beer,frankfurter,sausage,spread-cheese
4807,4808,specialty-vegetables,canned-fruit,tropical-fruit,pip-fruit,rubbing-alcohol,oil
4808,4809,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4809,4810,candles,potato-products,specialty-bar,waffles,semi-finished-bread,chocolate
4810,4811,frozen-dessert,ready-soups,frozen-fish,pasta,kitchen-towels,cereals
4811,4812,frozen-dessert,instant-coffee,chicken,frozen-fish,flower-(seeds),pork
4812,4813,spread-cheese,frankfurter,meat,canned-beer,pastry,meat-spreads
4813,4814,liquor-(appetizer),prosecco,bottled-water,canned-beer,white-wine,pet-care
4814,4815,processed-cheese,ham,nuts/prunes,sweet-spreads,specialty-vegetables,liquor-(appetizer)
4815,4816,cake-bar,tea,pudding-powder,canned-fruit,female-sanitary-products,cereals
4816,4817,herbs,beef,packaged-fruit/vegetables,onions,other-vegetables,rice
4817,4818,meat,rubbing-alcohol,potato-products,rum,flower-(seeds),organic-sausage
4818,4819,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine,bottled-water
4819,4820,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
4820,4821,cake-bar,brown-bread,salty-snack,bottled-water,misc.-beverages,butter-milk
4821,4822,cream-cheese-,dessert,cereals,whipped/sour-cream,whole-milk,liver-loaf
4822,4823,chewing-gum,frozen-meals,pastry,beverages,coffee,semi-finished-bread
4823,4824,flower-soil/fertilizer,shopping-bags,berries,pork,napkins,hygiene-articles
4824,4825,potato-products,mustard,pickled-vegetables,frozen-potato-products,artif.-sweetener,nut-snack
4825,4826,cereals,meat-spreads,female-sanitary-products,berries,butter-milk,liver-loaf
4826,4827,white-wine,male-cosmetics,bottled-beer,misc.-beverages,soda,tea
4827,4828,chewing-gum,Instant-food-products,sausage,specialty-chocolate,coffee,pasta
4828,4829,beef,other-vegetables,oil,jam,domestic-eggs,butter
4829,4830,canned-beer,sausage,spread-cheese,shopping-bags,specialty-bar,candy
4830,4831,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
4831,4832,frozen-fish,other-vegetables,root-vegetables,frozen-vegetables,pip-fruit,grapes
4832,4833,syrup,meat-spreads,candles,potato-products,specialty-bar,waffles
4833,4834,semi-finished-bread,grapes,beverages,citrus-fruit,frozen-meals,brown-bread
4834,4835,cookware,liqueur,shopping-bags,berries,pork,napkins
4835,4836,frankfurter,beef,other-vegetables,candles,roll-products-,chicken
4836,4837,brown-bread,frankfurter,shopping-bags,soda,organic-sausage,rolls/buns
4837,4838,liquor-(appetizer),male-cosmetics,zwieback,shopping-bags,curd,cream-cheese-
4838,4839,canned-beer,spread-cheese,pastry,sausage,shopping-bags,chewing-gum
4839,4840,frankfurter,pastry,pip-fruit,grapes,semi-finished-bread,citrus-fruit
4840,4841,flour,roll-products-,pasta,Instant-food-products,pudding-powder,margarine
4841,4842,dishes,margarine,newspapers,cat-food,tropical-fruit,waffles
4842,4843,salty-snack,processed-cheese,long-life-bakery-product,frozen-vegetables,yogurt,newspapers
4843,4844,cake-bar,flower-soil/fertilizer,seasonal-products,sauces,meat,spread-cheese
4844,4845,condensed-milk,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
4845,4846,margarine,UHT-milk,tropical-fruit,grapes,citrus-fruit,flour
4846,4847,meat,sliced-cheese,rolls/buns,shopping-bags,hard-cheese,canned-vegetables
4847,4848,rolls/buns,brown-bread,pastry,shopping-bags,sliced-cheese,meat
4848,4849,sausage,coffee,dessert,waffles,pastry,newspapers
4849,4850,canned-fruit,liqueur,tropical-fruit,pip-fruit,rubbing-alcohol,sparkling-wine
4850,4851,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
4851,4852,candles,potato-products,specialty-bar,waffles,semi-finished-bread,chocolate
4852,4853,canned-beer,spread-cheese,soda,white-wine,frankfurter,sliced-cheese
4853,4854,liquor,white-wine,specialty-vegetables,red/blush-wine,prosecco,sliced-cheese
4854,4855,frankfurter,newspapers,pastry,sausage,margarine,domestic-eggs
4855,4856,ham,sweet-spreads,fruit/vegetable-juice,coffee,dessert,long-life-bakery-product
4856,4857,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
4857,4858,cookware,jam,root-vegetables,cat-food,soap,pork
4858,4859,liquor,red/blush-wine,prosecco,liquor-(appetizer),sauces,tea
4859,4860,tropical-fruit,grapes,other-vegetables,onions,fruit/vegetable-juice,margarine
4860,4861,baby-cosmetics,brown-bread,pork,napkins,hygiene-articles,spices
4861,4862,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
4862,4863,curd-cheese,frankfurter,newspapers,pastry,sausage,ham
4863,4864,processed-cheese,sweet-spreads,sparkling-wine,long-life-bakery-product,dessert,ham
4864,4865,pet-care,dishes,light-bulbs,hygiene-articles,seasonal-products,female-sanitary-products
4865,4866,shopping-bags,ice-cream,red/blush-wine,chewing-gum,pork,sausage
4866,4867,condensed-milk,canned-beer,red/blush-wine,sausage,spread-cheese,chewing-gum
4867,4868,chewing-gum,hygiene-articles,spices,pastry,dishes,softener
4868,4869,spread-cheese,frankfurter,soda,sliced-cheese,shopping-bags,meat
4869,4870,rubbing-alcohol,hygiene-articles,specialty-fat,dishes,light-bulbs,photo/film
4870,4871,frozen-vegetables,make-up-remover,misc.-beverages,salty-snack,spices,soap
4871,4872,bottled-beer,newspapers,fruit/vegetable-juice,margarine,chocolate,soda
4872,4873,frankfurter,sausage,spread-cheese,newspapers,soda,tidbits
4873,4874,canned-beer,sausage,spread-cheese,chewing-gum,shopping-bags,specialty-bar
4874,4875,misc.-beverages,white-wine,UHT-milk,specialty-chocolate,spread-cheese,dessert
4875,4876,condensed-milk,frankfurter,soda,specialty-bar,waffles,beverages
4876,4877,pet-care,baby-food,hamburger-meat,light-bulbs,specialty-vegetables,toilet-cleaner
4877,4878,sound-storage-medium,processed-cheese,chocolate-marshmallow,shopping-bags,specialty-bar,canned-beer
4878,4879,citrus-fruit,semi-finished-bread,frozen-meals,ice-cream,beverages,tea
4879,4880,candy,chocolate-marshmallow,specialty-bar,long-life-bakery-product,nuts/prunes,snack-products
4880,4881,pip-fruit,yogurt,candy,grapes,misc.-beverages,cooking-chocolate
4881,4882,zwieback,baby-food,liquor-(appetizer),sparkling-wine,hamburger-meat,specialty-vegetables
4882,4883,red/blush-wine,prosecco,ready-soups,liquor-(appetizer),tea,white-wine
4883,4884,curd-cheese,dog-food,whisky,sound-storage-medium,canned-fruit,root-vegetables
4884,4885,cereals,curd,domestic-eggs,pot-plants,butter,pastry
4885,4886,chocolate-marshmallow,sound-storage-medium,chocolate,specialty-chocolate,brown-bread,pork
4886,4887,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
4887,4888,fruit/vegetable-juice,detergent,processed-cheese,ham,bottled-beer,sweet-spreads
4888,4889,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
4889,4890,curd,cream-cheese-,spread-cheese,berries,soft-cheese,beverages
4890,4891,nuts/prunes,baking-powder,cling-film/bags,kitchen-towels,sugar,jam
4891,4892,waffles,processed-cheese,specialty-chocolate,spread-cheese,candy,shopping-bags
4892,4893,canned-beer,specialty-cheese,ready-soups,soda,misc.-beverages,chewing-gum
4893,4894,pip-fruit,citrus-fruit,curd,berries,fruit/vegetable-juice,cream-cheese-
4894,4895,cling-film/bags,condensed-milk,flower-soil/fertilizer,baby-cosmetics,kitchen-towels,UHT-milk
4895,4896,mayonnaise,pet-care,liqueur,meat,frankfurter,ketchup
4896,4897,meat,chicken,oil,chocolate,turkey,flower-(seeds)
4897,4898,white-bread,spread-cheese,sweet-spreads,instant-coffee,bottled-water,cake-bar
4898,4899,softener,ham,margarine,hygiene-articles,citrus-fruit,tea
4899,4900,coffee,flour,seasonal-products,spread-cheese,cat-food,dessert
4900,4901,frankfurter,newspapers,pastry,sausage,margarine,domestic-eggs
4901,4902,soap,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags
4902,4903,misc.-beverages,canned-beer,chocolate-marshmallow,semi-finished-bread,popcorn,white-wine
4903,4904,detergent,photo/film,chicken,liver-loaf,frozen-meals,semi-finished-bread
4904,4905,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
4905,4906,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
4906,4907,cling-film/bags,female-sanitary-products,cleaner,pudding-powder,detergent,salty-snack
4907,4908,curd,instant-coffee,cream-cheese-,soft-cheese,whole-milk,other-vegetables
4908,4909,cake-bar,popcorn,canned-beer,chewing-gum,ice-cream,specialty-bar
4909,4910,processed-cheese,sound-storage-medium,white-bread,salad-dressing,kitchen-utensil,salt
4910,4911,specialty-fat,liquor,bottled-water,frozen-fish,organic-products,pet-care
4911,4912,pet-care,whisky,sound-storage-medium,female-sanitary-products,curd-cheese,prosecco
4912,4913,bottled-water,pastry,liquor,pork,UHT-milk,pet-care
4913,4914,liquor,sparkling-wine,bottled-beer,candles,pip-fruit,specialty-fat
4914,4915,cereals,curd,domestic-eggs,pot-plants,butter,pastry
4915,4916,seasonal-products,bottled-beer,cake-bar,newspapers,UHT-milk,fruit/vegetable-juice
4916,4917,sausage,frankfurter,meat,ready-soups,newspapers,whole-milk
4917,4918,ketchup,canned-fruit,chocolate-marshmallow,cooking-chocolate,tea,butter
4918,4919,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4919,4920,hygiene-articles,dishes,light-bulbs,sliced-cheese,photo/film,decalcifier
4920,4921,condensed-milk,white-wine,misc.-beverages,soda,canned-beer,red/blush-wine
4921,4922,hard-cheese,herbs,berries,other-vegetables,beef,onions
4922,4923,cereals,curd,domestic-eggs,pot-plants,butter,pastry
4923,4924,frozen-dessert,grapes,frozen-fish,turkey,brown-bread,waffles
4924,4925,canned-beer,shopping-bags,spread-cheese,instant-coffee,pastry,bottled-beer
4925,4926,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
4926,4927,liqueur,hygiene-articles,dishes,light-bulbs,photo/film,decalcifier
4927,4928,sauces,meat,spread-cheese,UHT-milk,meat-spreads,frankfurter
4928,4929,specialty-fat,baking-powder,flour,flower-(seeds),frozen-fruits,oil
4929,4930,berries,yogurt,ice-cream,curd,citrus-fruit,other-vegetables
4930,4931,tropical-fruit,cookware,grapes,spices,other-vegetables,hygiene-articles
4931,4932,chewing-gum,frozen-meals,pastry,beverages,coffee,semi-finished-bread
4932,4933,chocolate-marshmallow,snack-products,chocolate,tidbits,salty-snack,long-life-bakery-product
4933,4934,pip-fruit,frozen-fish,pastry,frankfurter,frozen-dessert,soups
4934,4935,cookware,canned-beer,tropical-fruit,potato-products,coffee,canned-fruit
4935,4936,canned-beer,spread-cheese,bottled-beer,newspapers,misc.-beverages,shopping-bags
4936,4937,shopping-bags,rolls/buns,white-wine,potato-products,liquor-(appetizer),male-cosmetics
4937,4938,liquor,tea,red/blush-wine,condensed-milk,specialty-vegetables,prosecco
4938,4939,UHT-milk,female-sanitary-products,male-cosmetics,dishes,hygiene-articles,spread-cheese
4939,4940,brown-bread,dessert,processed-cheese,beverages,shopping-bags,salty-snack
4940,4941,cereals,curd,domestic-eggs,pot-plants,butter,pastry
4941,4942,ketchup,canned-fruit,chocolate-marshmallow,cooking-chocolate,tea,butter
4942,4943,curd,tropical-fruit,other-vegetables,cream-cheese-,citrus-fruit,berries
4943,4944,canned-fish,root-vegetables,pork,mayonnaise,domestic-eggs,flower-(seeds)
4944,4945,soda,misc.-beverages,white-wine,seasonal-products,canned-beer,brown-bread
4945,4946,popcorn,nut-snack,ice-cream,kitchen-towels,make-up-remover,chewing-gum
4946,4947,candles,specialty-fat,chocolate-marshmallow,sound-storage-medium,frozen-fish,organic-products
4947,4948,frankfurter,newspapers,pastry,sausage,margarine,domestic-eggs
4948,4949,meat,canned-beer,processed-cheese,rolls/buns,soda,salty-snack
4949,4950,cereals,curd,domestic-eggs,pot-plants,butter,pastry
4950,4951,rum,butter-milk,ham,sausage,curd-cheese,frozen-chicken
4951,4952,chewing-gum,white-wine,liquor-(appetizer),spread-cheese,salty-snack,red/blush-wine
4952,4953,liquor-(appetizer),popcorn,whisky,chewing-gum,ice-cream,white-wine
4953,4954,light-bulbs,brandy,bathroom-cleaner,dishes,canned-beer,liquor
4954,4955,canned-fish,frankfurter,sausage,spread-cheese,newspapers,soda
4955,4956,white-wine,male-cosmetics,bottled-beer,UHT-milk,misc.-beverages,soda
4956,4957,other-vegetables,tropical-fruit,seasonal-products,grapes,softener,beef
4957,4958,candles,beef,oil,pip-fruit,soups,pet-care
4958,4959,fruit/vegetable-juice,UHT-milk,misc.-beverages,brown-bread,rolls/buns,beverages
4959,4960,domestic-eggs,sliced-cheese,meat,jam,other-vegetables,hamburger-meat
4960,4961,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
4961,4962,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
4962,4963,canned-beer,spread-cheese,white-wine,chewing-gum,specialty-chocolate,pastry
4963,4964,shopping-bags,white-wine,spread-cheese,cake-bar,pastry,red/blush-wine
4964,4965,candy,waffles,chocolate-marshmallow,nuts/prunes,long-life-bakery-product,finished-products
4965,4966,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4966,4967,liquor-(appetizer),liquor,red/blush-wine,prosecco,nuts/prunes,tea
4967,4968,flour,roll-products-,rice,salt,turkey,grapes
4968,4969,waffles,chocolate,candles,potato-products,specialty-bar,semi-finished-bread
4969,4970,Instant-food-products,skin-care,margarine,napkins,coffee,nuts/prunes
4970,4971,liquor-(appetizer),male-cosmetics,nuts/prunes,dental-care,liqueur,ice-cream
4971,4972,nuts/prunes,liquor-(appetizer),dental-care,ice-cream,male-cosmetics,instant-coffee
4972,4973,spread-cheese,frankfurter,soda,sliced-cheese,shopping-bags,meat
4973,4974,tropical-fruit,other-vegetables,grapes,beef,onions,oil
4974,4975,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4975,4976,sausage,vinegar,beef,instant-coffee,margarine,cream-cheese-
4976,4977,spread-cheese,frankfurter,meat,canned-beer,pastry,meat-spreads
4977,4978,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
4978,4979,nuts/prunes,mustard,meat,instant-coffee,pastry,sausage
4979,4980,rolls/buns,spread-cheese,canned-beer,pastry,white-wine,male-cosmetics
4980,4981,liquor,red/blush-wine,liquor-(appetizer),bottled-water,white-wine,pet-care
4981,4982,pork,popcorn,jam,frozen-vegetables,packaged-fruit/vegetables,bottled-water
4982,4983,prosecco,whisky,brown-bread,berries,pork,napkins
4983,4984,meat,sliced-cheese,rolls/buns,shopping-bags,hard-cheese,brown-bread
4984,4985,UHT-milk,specialty-fat,ice-cream,canned-beer,liquor-(appetizer),instant-coffee
4985,4986,chocolate-marshmallow,canned-beer,chewing-gum,ice-cream,shopping-bags,misc.-beverages
4986,4987,specialty-bar,chocolate,candy,snack-products,tidbits,chocolate-marshmallow
4987,4988,seasonal-products,curd,cream-cheese-,spread-cheese,berries,soft-cheese
4988,4989,condensed-milk,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
4989,4990,coffee,chewing-gum,shopping-bags,ice-cream,pork,canned-beer
4990,4991,soft-cheese,soda,meat,shopping-bags,brown-bread,beverages
4991,4992,frozen-vegetables,pot-plants,brown-bread,hamburger-meat,long-life-bakery-product,white-bread
4992,4993,spread-cheese,sausage,beverages,frankfurter,newspapers,soft-cheese
4993,4994,berries,other-vegetables,cat-food,dishes,onions,instant-coffee
4994,4995,processed-cheese,sound-storage-medium,white-bread,hair-spray,honey,rum
4995,4996,candy,newspapers,misc.-beverages,specialty-bar,chewing-gum,bottled-beer
4996,4997,Instant-food-products,canned-vegetables,pasta,kitchen-towels,root-vegetables,onions
4997,4998,prosecco,whisky,brown-bread,berries,pork,napkins
4998,4999,candles,potato-products,specialty-bar,waffles,semi-finished-bread,chocolate
4999,5000,shopping-bags,whipped/sour-cream,berries,pork,napkins,hygiene-articles
5000,5001,nut-snack,pet-care,liqueur,cleaner,sound-storage-medium,curd-cheese
5001,5002,long-life-bakery-product,berries,pot-plants,specialty-cheese,photo/film,instant-coffee
5002,5003,other-vegetables,herbs,jam,tropical-fruit,packaged-fruit/vegetables,chicken
5003,5004,frozen-fish,frozen-dessert,other-vegetables,beef,beverages,instant-coffee
5004,5005,turkey,beef,onions,pork,chicken,roll-products-
5005,5006,liqueur,frankfurter,beverages,sausage,newspapers,yogurt
5006,5007,softener,house-keeping-products,photo/film,skin-care,decalcifier,dishes
5007,5008,liquor,red/blush-wine,prosecco,liquor-(appetizer),tea,white-wine
5008,5009,processed-cheese,ham,sweet-spreads,long-life-bakery-product,fruit/vegetable-juice,dessert
5009,5010,tidbits,photo/film,baby-food,baby-cosmetics,frozen-chicken,salty-snack
5010,5011,spread-cheese,white-wine,pastry,chewing-gum,red/blush-wine,frankfurter
5011,5012,rice,flour,baking-powder,domestic-eggs,flower-(seeds),coffee
5012,5013,bottled-beer,misc.-beverages,fruit/vegetable-juice,rolls/buns,newspapers,white-wine
5013,5014,liqueur,canned-fruit,sparkling-wine,sweet-spreads,frozen-dessert,whipped/sour-cream
5014,5015,chocolate-marshmallow,specialty-bar,snack-products,chocolate,tidbits,salty-snack
5015,5016,meat-spreads,Instant-food-products,salty-snack,snack-products,instant-coffee,make-up-remover
5016,5017,prosecco,whisky,brown-bread,berries,pork,napkins
5017,5018,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
5018,5019,Instant-food-products,pasta,specialty-cheese,ketchup,roll-products-,pork
5019,5020,packaged-fruit/vegetables,onions,bottled-beer,fruit/vegetable-juice,citrus-fruit,margarine
5020,5021,liqueur,prosecco,shopping-bags,berries,pork,napkins
5021,5022,rubbing-alcohol,pet-care,chewing-gum,liquor-(appetizer),prosecco,bottled-water
5022,5023,pip-fruit,grapes,semi-finished-bread,citrus-fruit,tea,turkey
5023,5024,sweet-spreads,grapes,semi-finished-bread,frozen-meals,seasonal-products,sound-storage-medium
5024,5025,Instant-food-products,pasta,other-vegetables,sliced-cheese,tropical-fruit,rolls/buns
5025,5026,root-vegetables,onions,dishes,pork,specialty-cheese,chicken
5026,5027,condensed-milk,cling-film/bags,kitchen-towels,UHT-milk,sparkling-wine,seasonal-products
5027,5028,chewing-gum,dishes,hygiene-articles,tropical-fruit,margarine,pastry
5028,5029,candy,waffles,specialty-chocolate,specialty-bar,pasta,chocolate-marshmallow
5029,5030,specialty-bar,chocolate,candy,snack-products,tidbits,chocolate-marshmallow
5030,5031,cereals,curd,domestic-eggs,pot-plants,butter,pastry
5031,5032,cookware,liqueur,shopping-bags,berries,pork,napkins
5032,5033,rubbing-alcohol,skin-care,napkins,canned-fruit,softener,dish-cleaner
5033,5034,newspapers,beef,yogurt,butter-milk,frozen-vegetables,bottled-water
5034,5035,popcorn,nut-snack,ice-cream,kitchen-towels,make-up-remover,chewing-gum
5035,5036,white-wine,liquor-(appetizer),coffee,chewing-gum,frozen-meals,semi-finished-bread
5036,5037,liquor-(appetizer),shopping-bags,cake-bar,instant-coffee,pastry,white-wine
5037,5038,prosecco,whisky,brown-bread,berries,pork,napkins
5038,5039,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,flower-soil/fertilizer,red/blush-wine
5039,5040,soda,grapes,white-wine,male-cosmetics,bottled-beer,sound-storage-medium
5040,5041,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
5041,5042,white-wine,male-cosmetics,soda,rolls/buns,spread-cheese,canned-beer
5042,5043,specialty-vegetables,frankfurter,sausage,spread-cheese,newspapers,soda
5043,5044,male-cosmetics,liquor-(appetizer),frozen-fruits,liqueur,pot-plants,shopping-bags
5044,5045,hamburger-meat,beef,instant-coffee,other-vegetables,frankfurter,domestic-eggs
5045,5046,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
5046,5047,chocolate,waffles,specialty-chocolate,rubbing-alcohol,house-keeping-products,cereals
5047,5048,margarine,flour,white-wine,baking-powder,red/blush-wine,coffee
5048,5049,pip-fruit,onions,oil,whipped/sour-cream,fruit/vegetable-juice,hygiene-articles
5049,5050,grapes,pip-fruit,citrus-fruit,root-vegetables,turkey,onions
5050,5051,rolls/buns,brown-bread,sliced-cheese,pastry,meat,frankfurter
5051,5052,packaged-fruit/vegetables,cat-food,tropical-fruit,white-wine,chewing-gum,citrus-fruit
5052,5053,male-cosmetics,liquor-(appetizer),liqueur,shopping-bags,red/blush-wine,white-wine
5053,5054,candy,snack-products,sweet-spreads,specialty-chocolate,potato-products,white-wine
5054,5055,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
5055,5056,UHT-milk,ready-soups,soda,sparkling-wine,turkey,grapes
5056,5057,misc.-beverages,ice-cream,fruit/vegetable-juice,frozen-meals,citrus-fruit,beverages
5057,5058,pip-fruit,beverages,grapes,fruit/vegetable-juice,berries,seasonal-products
5058,5059,cookware,tropical-fruit,frozen-meals,butter-milk,citrus-fruit,spices
5059,5060,curd,cream-cheese-,spread-cheese,berries,soft-cheese,beverages
5060,5061,canned-vegetables,rice,beef,herbs,other-vegetables,pork
5061,5062,chocolate-marshmallow,specialty-bar,snack-products,chocolate,tidbits,sparkling-wine
5062,5063,brown-bread,hard-cheese,soda,long-life-bakery-product,beverages,soft-cheese
5063,5064,canned-beer,chewing-gum,ice-cream,specialty-bar,shopping-bags,misc.-beverages
5064,5065,canned-beer,chewing-gum,ice-cream,shopping-bags,misc.-beverages,instant-coffee
5065,5066,cereals,curd,domestic-eggs,pot-plants,butter,pastry
5066,5067,brown-bread,sliced-cheese,rolls/buns,processed-cheese,frankfurter,fruit/vegetable-juice
5067,5068,sliced-cheese,spread-cheese,rolls/buns,soft-cheese,brown-bread,male-cosmetics
5068,5069,pork,candles,pastry,chewing-gum,bottled-water,cake-bar
5069,5070,seasonal-products,root-vegetables,beef,tropical-fruit,dishes,onions
5070,5071,newspapers,margarine,butter,yogurt,soda,soft-cheese
5071,5072,pastry,meat,frankfurter,sauces,cereals,curd
5072,5073,specialty-bar,liqueur,snack-products,shopping-bags,waffles,chocolate
5073,5074,liquor,bottled-water,tea,pet-care,red/blush-wine,cereals
5074,5075,brandy,shopping-bags,berries,pork,napkins,hygiene-articles
5075,5076,nuts/prunes,liquor-(appetizer),dental-care,ice-cream,male-cosmetics,instant-coffee
5076,5077,syrup,brown-bread,pork,napkins,hygiene-articles,spices
5077,5078,napkins,sausage,sliced-cheese,newspapers,pip-fruit,cream-cheese-
5078,5079,soft-cheese,sliced-cheese,specialty-fat,organic-sausage,meat,rice
